Temperature (K),Pressure (bar),Density (kg/m3)
310.000,18.500,103.720
310.000,19.000,106.840
310.000,19.500,109.970
310.000,20.000,113.130
310.000,20.500,116.300
310.000,21.000,119.500
310.000,21.500,122.720
310.000,22.000,125.960
310.000,22.500,129.220
310.000,23.000,132.500
310.000,23.500,135.800
310.000,24.000,139.130
310.000,24.500,142.480
310.000,25.000,145.850
310.000,25.500,149.250
310.000,26.000,152.670
310.000,26.500,156.120
310.000,27.000,159.590
310.000,27.500,163.080
310.000,28.000,166.610
310.000,28.500,170.160
310.000,29.000,173.730
310.000,29.500,177.340
310.000,30.000,180.970
311.000,0.000,0.000
311.000,0.500,2.545
311.000,1.000,5.101
311.000,1.500,7.669
311.000,2.000,10.250
311.000,2.500,12.842
311.000,3.000,15.447
311.000,3.500,18.065
311.000,4.000,20.695
311.000,4.500,23.338
311.000,5.000,25.993
311.000,5.500,28.662
311.000,6.000,31.345
311.000,6.500,34.041
311.000,7.000,36.750
311.000,7.500,39.473
311.000,8.000,42.211
311.000,8.500,44.962
311.000,9.000,47.728
311.000,9.500,50.508
311.000,10.000,53.303
311.000,10.500,56.113
311.000,11.000,58.938
311.000,11.500,61.779
311.000,12.000,64.635
311.000,12.500,67.506
311.000,13.000,70.394
311.000,13.500,73.298
311.000,14.000,76.218
311.000,14.500,79.155
311.000,15.000,82.109
311.000,15.500,85.080
311.000,16.000,88.069
311.000,16.500,91.075
311.000,17.000,94.099
311.000,17.500,97.141
311.000,18.000,100.200
311.000,18.500,103.280
311.000,19.000,106.380
311.000,19.500,109.500
311.000,20.000,112.630
311.000,20.500,115.790
311.000,21.000,118.970
311.000,21.500,122.160
311.000,22.000,125.380
311.000,22.500,128.620
311.000,23.000,131.880
311.000,23.500,135.170
311.000,24.000,138.470
311.000,24.500,141.800
311.000,25.000,145.150
311.000,25.500,148.520
311.000,26.000,151.920
311.000,26.500,155.340
311.000,27.000,158.790
311.000,27.500,162.260
311.000,28.000,165.760
311.000,28.500,169.280
311.000,29.000,172.830
311.000,29.500,176.410
311.000,30.000,180.010
312.000,0.000,0.000
312.000,0.500,2.536
312.000,1.000,5.084
312.000,1.500,7.644
312.000,2.000,10.216
312.000,2.500,12.800
312.000,3.000,15.396
312.000,3.500,18.004
312.000,4.000,20.625
312.000,4.500,23.258
312.000,5.000,25.904
312.000,5.500,28.563
312.000,6.000,31.236
312.000,6.500,33.921
312.000,7.000,36.620
312.000,7.500,39.333
312.000,8.000,42.059
312.000,8.500,44.799
312.000,9.000,47.554
312.000,9.500,50.322
312.000,10.000,53.106
312.000,10.500,55.904
312.000,11.000,58.717
312.000,11.500,61.545
312.000,12.000,64.388
312.000,12.500,67.247
312.000,13.000,70.121
312.000,13.500,73.011
312.000,14.000,75.918
312.000,14.500,78.841
312.000,15.000,81.780
312.000,15.500,84.737
312.000,16.000,87.710
312.000,16.500,90.701
312.000,17.000,93.709
312.000,17.500,96.735
312.000,18.000,99.779
312.000,18.500,102.840
312.000,19.000,105.920
312.000,19.500,109.020
312.000,20.000,112.140
312.000,20.500,115.280
312.000,21.000,118.440
312.000,21.500,121.620
312.000,22.000,124.820
312.000,22.500,128.040
312.000,23.000,131.280
312.000,23.500,134.540
312.000,24.000,137.820
312.000,24.500,141.130
312.000,25.000,144.460
312.000,25.500,147.810
312.000,26.000,151.180
312.000,26.500,154.580
312.000,27.000,158.000
312.000,27.500,161.450
312.000,28.000,164.920
312.000,28.500,168.420
312.000,29.000,171.940
312.000,29.500,175.490
312.000,30.000,179.060
313.000,0.000,0.000
313.000,0.500,2.528
313.000,1.000,5.068
313.000,1.500,7.619
313.000,2.000,10.182
313.000,2.500,12.757
313.000,3.000,15.344
313.000,3.500,17.943
313.000,4.000,20.555
313.000,4.500,23.179
313.000,5.000,25.815
313.000,5.500,28.465
313.000,6.000,31.127
313.000,6.500,33.802
313.000,7.000,36.491
313.000,7.500,39.193
313.000,8.000,41.909
313.000,8.500,44.638
313.000,9.000,47.381
313.000,9.500,50.139
313.000,10.000,52.910
313.000,10.500,55.696
313.000,11.000,58.497
313.000,11.500,61.313
313.000,12.000,64.143
313.000,12.500,66.989
313.000,13.000,69.851
313.000,13.500,72.728
313.000,14.000,75.620
313.000,14.500,78.529
313.000,15.000,81.455
313.000,15.500,84.397
313.000,16.000,87.355
313.000,16.500,90.331
313.000,17.000,93.324
313.000,17.500,96.334
313.000,18.000,99.362
313.000,18.500,102.410
313.000,19.000,105.470
313.000,19.500,108.560
313.000,20.000,111.660
313.000,20.500,114.780
313.000,21.000,117.920
313.000,21.500,121.080
313.000,22.000,124.260
313.000,22.500,127.460
313.000,23.000,130.680
313.000,23.500,133.920
313.000,24.000,137.180
313.000,24.500,140.470
313.000,25.000,143.770
313.000,25.500,147.100
313.000,26.000,150.450
313.000,26.500,153.830
313.000,27.000,157.230
313.000,27.500,160.650
313.000,28.000,164.090
313.000,28.500,167.560
313.000,29.000,171.060
313.000,29.500,174.580
313.000,30.000,178.130
314.000,0.000,0.000
314.000,0.500,2.520
314.000,1.000,5.051
314.000,1.500,7.595
314.000,2.000,10.149
314.000,2.500,12.715
314.000,3.000,15.293
314.000,3.500,17.884
314.000,4.000,20.486
314.000,4.500,23.100
314.000,5.000,25.727
314.000,5.500,28.367
314.000,6.000,31.019
314.000,6.500,33.685
314.000,7.000,36.363
314.000,7.500,39.054
314.000,8.000,41.759
314.000,8.500,44.478
314.000,9.000,47.210
314.000,9.500,49.956
314.000,10.000,52.716
314.000,10.500,55.491
314.000,11.000,58.279
314.000,11.500,61.083
314.000,12.000,63.901
314.000,12.500,66.734
314.000,13.000,69.582
314.000,13.500,72.446
314.000,14.000,75.326
314.000,14.500,78.221
314.000,15.000,81.132
314.000,15.500,84.060
314.000,16.000,87.004
314.000,16.500,89.964
314.000,17.000,92.942
314.000,17.500,95.937
314.000,18.000,98.949
314.000,18.500,101.980
314.000,19.000,105.030
314.000,19.500,108.090
314.000,20.000,111.180
314.000,20.500,114.280
314.000,21.000,117.400
314.000,21.500,120.540
314.000,22.000,123.700
314.000,22.500,126.890
314.000,23.000,130.090
314.000,23.500,133.310
314.000,24.000,136.550
314.000,24.500,139.810
314.000,25.000,143.100
314.000,25.500,146.400
314.000,26.000,149.730
314.000,26.500,153.080
314.000,27.000,156.460
314.000,27.500,159.860
314.000,28.000,163.280
314.000,28.500,166.720
314.000,29.000,170.190
314.000,29.500,173.690
314.000,30.000,177.210
